1,35,767
﻿1,36,788
﻿1,33,810
﻿1,34,744
﻿1,39,850
﻿1,37,875
﻿1,38,971
﻿1,43,941
﻿1,42,906
﻿1,41,854
﻿1,40,930
﻿1,67,659
﻿1,66,734
﻿1,69,378
﻿1,68,543
﻿1,22,1436
﻿1,23,2190
﻿1,24,3108
﻿1,25,3138
﻿1,26,2704
﻿1,27,2741
﻿1,28,1991
﻿1,29,1338
﻿1,30,1117
﻿1,32,875
﻿1,31,962
﻿1,70,79
﻿1,59,1478
﻿1,58,2209
﻿1,57,2615
﻿1,19,345
﻿1,56,2897
﻿1,55,2419
﻿1,17,50
﻿1,18,109
﻿1,16,5
﻿1,21,1024
﻿1,20,538
﻿1,64,988
﻿1,65,868
﻿1,62,1089
﻿1,63,887
﻿1,60,1198
﻿1,61,969
﻿1,49,977
﻿1,48,959
﻿1,45,909
﻿1,44,760
﻿1,47,959
﻿1,46,873
﻿1,51,1290
﻿1,52,1455
﻿1,53,1983
﻿1,54,2278
﻿1,50,1137
2,35,224
2,36,185
2,33,212
2,34,228
2,39,233
2,37,231
2,38,251
2,43,204
2,42,212
2,41,242
2,40,185
2,67,302
2,66,285
2,69,179
2,68,197
2,22,625
2,23,955
2,24,1513
2,25,1639
2,26,1276
2,27,820
2,28,596
2,29,378
2,30,352
2,32,205
2,31,272
2,59,608
2,58,845
2,57,1156
2,19,113
2,56,909
2,55,909
2,17,36
2,18,60
2,21,404
2,20,223
2,64,334
2,65,356
2,62,287
2,63,369
2,60,358
2,61,415
2,49,275
2,48,229
2,45,237
2,44,221
2,47,279
2,46,230
2,51,399
2,52,483
2,53,660
2,54,719
2,50,340
3,35,91
3,36,136
3,33,131
3,34,142
3,39,153
3,37,163
3,38,119
3,43,142
3,42,128
3,41,119
3,40,159
3,67,212
3,66,208
3,69,100
3,68,119
3,22,481
3,23,815
3,24,969
3,25,1043
3,26,846
3,27,592
3,28,378
3,29,303
3,30,173
3,32,132
3,31,137
3,59,309
3,58,706
3,57,566
3,19,77
3,56,756
3,55,534
3,17,25
3,18,46
3,21,361
3,20,153
3,64,241
3,65,179
3,62,251
3,63,166
3,60,316
3,61,187
3,49,204
3,48,190
3,45,132
3,44,91
3,47,123
3,46,180
3,51,212
3,52,257
3,53,482
3,54,623
3,50,233
4,35,73
4,36,61
4,33,76
4,34,47
4,39,65
4,37,62
4,38,71
4,43,61
4,42,80
4,41,83
4,40,84
4,67,32
4,66,35
4,69,30
4,68,40
4,22,194
4,23,384
4,24,458
4,25,430
4,26,435
4,27,401
4,28,332
4,29,239
4,30,174
4,32,68
4,31,90
4,70,1
4,59,120
4,58,220
4,57,254
4,19,24
4,56,343
4,55,394
4,17,8
4,18,15
4,16,1
4,21,107
4,20,49
4,64,60
4,65,47
4,62,101
4,63,79
4,60,88
4,61,69
4,49,71
4,48,86
4,45,81
4,44,74
4,47,89
4,46,72
4,51,115
4,52,165
4,53,216
4,54,297
4,50,99
5,35,111
5,36,112
5,33,113
5,34,88
5,39,107
5,37,125
5,38,118
5,43,102
5,42,102
5,41,106
5,40,106
5,67,107
5,66,101
5,69,55
5,68,68
5,22,432
5,23,558
5,24,752
5,25,838
5,26,780
5,27,428
5,28,290
5,29,196
5,30,146
5,32,97
5,31,119
5,70,11
5,71,5
5,59,261
5,58,338
5,57,449
5,19,55
5,56,582
5,55,509
5,17,20
5,18,41
5,15,1
5,16,1
5,21,304
5,20,192
5,64,136
5,65,123
5,62,118
5,63,179
5,60,197
5,61,143
5,49,136
5,48,126
5,45,109
5,44,109
5,47,170
5,46,121
5,51,240
5,52,340
5,53,391
5,54,496
5,50,199
6,35,108
6,36,99
6,33,102
6,34,103
6,39,113
6,37,127
6,38,147
6,43,102
6,42,107
6,41,124
6,40,116
6,67,90
6,66,102
6,69,69
6,68,95
6,22,374
6,23,477
6,24,673
6,25,730
6,26,577
6,27,449
6,28,307
6,29,170
6,30,196
6,32,135
6,31,119
6,70,30
6,71,4
6,59,228
6,58,313
6,57,339
6,19,85
6,56,374
6,55,406
6,17,29
6,18,37
6,16,3
6,21,295
6,20,184
6,64,140
6,65,95
6,62,157
6,63,119
6,60,156
6,61,128
6,49,151
6,48,150
6,45,101
6,44,100
6,47,109
6,46,143
6,51,182
6,52,313
6,53,276
6,54,437
6,50,179
7,35,422
7,36,433
7,33,543
7,34,391
7,39,525
7,37,473
7,38,514
7,43,503
7,42,540
7,41,546
7,40,502
7,67,384
7,66,585
7,69,31
7,68,179
7,22,544
7,23,834
7,24,1160
7,25,1718
7,26,1915
7,27,2211
7,28,1500
7,29,1113
7,30,963
7,32,530
7,31,624
7,70,22
7,71,6
7,59,709
7,58,1080
7,57,1387
7,19,61
7,56,1689
7,55,1961
7,17,14
7,18,18
7,21,310
7,20,201
7,64,578
7,65,439
7,62,454
7,63,561
7,60,525
7,61,533
7,49,546
7,48,521
7,45,518
7,44,526
7,47,590
7,46,496
7,51,919
7,52,1164
7,53,1300
7,54,1827
7,50,680
8,35,677
8,36,686
8,33,642
8,34,585
8,39,819
8,37,682
8,38,758
8,43,767
8,42,834
8,41,795
8,40,870
8,67,2818
8,66,969
8,69,131
8,68,341
8,22,837
8,23,1076
8,24,1653
8,25,2608
8,26,2743
8,27,3194
8,28,2242
8,29,1590
8,30,1066
8,32,786
8,31,920
8,70,47
8,71,8
8,59,1234
8,58,2067
8,57,2746
8,19,124
8,56,2873
8,55,2971
8,17,28
8,18,41
8,15,2
8,16,7
8,21,558
8,20,294
8,64,719
8,65,595
8,62,714
8,63,666
8,60,821
8,61,841
8,49,1007
8,48,952
8,45,884
8,44,782
8,47,900
8,46,799
8,51,1258
8,52,1797
8,53,2060
8,54,2709
8,50,1016
9,35,158
9,36,140
9,33,181
9,34,180
9,39,171
9,37,170
9,38,167
9,43,213
9,42,162
9,41,166
9,40,197
9,67,91
9,66,99
9,69,37
9,68,52
9,22,335
9,23,535
9,24,679
9,25,671
9,26,686
9,27,610
9,28,440
9,29,328
9,30,289
9,32,240
9,31,236
9,70,11
9,59,206
9,58,252
9,57,290
9,19,46
9,56,440
9,55,420
9,18,14
9,21,175
9,20,109
9,64,128
9,65,100
9,62,149
9,63,100
9,60,173
9,61,155
9,49,218
9,48,237
9,45,189
9,44,173
9,47,199
9,46,180
9,51,348
9,52,397
9,53,404
9,54,401
9,50,272
10,35,190
10,36,173
10,33,220
10,34,214
10,39,182
10,37,198
10,38,187
10,43,198
10,42,226
10,41,216
10,40,199
10,67,114
10,66,108
10,69,54
10,68,66
10,22,262
10,23,437
10,24,582
10,25,832
10,26,694
10,27,542
10,28,334
10,29,272
10,30,251
10,32,213
10,31,228
10,59,249
10,58,353
10,57,447
10,19,41
10,56,487
10,55,474
10,18,14
10,21,182
10,20,121
10,64,127
10,65,107
10,62,175
10,63,132
10,60,221
10,61,140
10,49,249
10,48,232
10,45,209
10,44,232
10,47,228
10,46,235
10,51,280
10,52,338
10,53,458
10,54,482
10,50,268
11,35,1034
11,36,1113
11,33,1235
11,34,1212
11,39,1165
11,37,1091
11,38,1320
11,43,1181
11,42,1095
11,41,1305
11,40,1226
11,67,712
11,66,812
11,69,292
11,68,636
11,22,2194
11,23,3693
11,24,4564
11,25,4911
11,26,4782
11,27,3223
11,28,2870
11,29,2120
11,30,1311
11,32,1122
11,31,1404
11,70,107
11,71,59
11,72,13
11,59,1989
11,58,2527
11,57,3645
11,19,358
11,56,3441
11,55,3868
11,17,144
11,18,117
11,15,45
11,16,131
11,14,9
11,21,1593
11,20,940
11,64,1238
11,65,849
11,62,1400
11,63,1192
11,60,1591
11,61,1149
11,49,1695
11,48,1375
11,45,1136
11,44,1255
11,47,1460
11,46,1309
11,51,2120
11,52,2453
11,53,2956
11,54,3058
11,50,1684
12,35,198
12,36,208
12,33,210
12,34,193
12,39,239
12,37,220
12,38,230
12,43,199
12,42,223
12,41,240
12,40,261
12,67,104
12,66,141
12,69,4
12,68,55
12,22,203
12,23,333
12,24,485
12,25,599
12,26,768
12,27,692
12,28,488
12,29,386
12,30,359
12,32,257
12,31,221
12,59,210
12,58,323
12,57,406
12,19,29
12,56,539
12,55,526
12,17,4
12,18,5
12,21,95
12,20,61
12,64,123
12,65,141
12,62,181
12,63,123
12,60,153
12,61,169
12,49,287
12,48,281
12,45,243
12,44,266
12,47,273
12,46,255
12,51,434
12,52,617
12,53,567
12,54,535
12,50,311
13,35,353
13,36,366
13,33,257
13,34,291
13,39,384
13,37,359
13,38,346
13,43,304
13,42,351
13,41,357
13,40,320
13,67,261
13,66,306
13,69,228
